library	library_long	source	region	sort	flowcell	n_cells	n_assig	frac_assig	n_clean	frac_clean
pCalicoPDsHSrSNSN_VTAiPoold230719FD	230712_pCalicoPDsHSrSNSN_VTAiPoold230719FD	Calico	SN_VTA	dapi	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719G1	230712_pCalicoPDsHSrSNSN_VTAiPoold230719G1	Calico	SN_VTA	nurr	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719G2	230712_pCalicoPDsHSrSNSN_VTAiPoold230719G2	Calico	SN_VTA	nurr	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719GD	230712_pCalicoPDsHSrSNSN_VTAiPoold230719GD	Calico	SN_VTA	dapi	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719I1	230712_pCalicoPDsHSrSNSN_VTAiPoold230719I1	Calico	SN_VTA	nurr	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719I2	230712_pCalicoPDsHSrSNSN_VTAiPoold230719I2	Calico	SN_VTA	nurr	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719ID	230712_pCalicoPDsHSrSNSN_VTAiPoold230719ID	Calico	SN_VTA	dapi	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719J1	230712_pCalicoPDsHSrSNSN_VTAiPoold230719J1	Calico	SN_VTA	nurr	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719J2	230712_pCalicoPDsHSrSNSN_VTAiPoold230719J2	Calico	SN_VTA	nurr	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719K1	230712_pCalicoPDsHSrSNSN_VTAiPoold230719K1	Calico	SN_VTA	nurr	A223YTWLT3					
pCalicoPDsHSrSNSN_VTAiPoold230719K2	230712_pCalicoPDsHSrSNSN_VTAiPoold230719K2	Calico	SN_VTA	nurr	A223YTWLT3					
pCalico_GTExsHSrSNA10iDAPId231120	231103_pCalico_GTExsHSrSNA10iDAPId231120	GTEx	SN	dapi	A22C7WYLT3					
pCalico_GTExsHSrSNA11iNURRd231120	231103_pCalico_GTExsHSrSNA11iNURRd231120	GTEx	SN	nurr	A22C7WYLT3					
pCalico_GTExsHSrSNB10iDAPId231120	231103_pCalico_GTExsHSrSNB10iDAPId231120	GTEx	SN	dapi	A22C7WYLT3					
