ensg_id	chr	TSS	gene_symbol	strand
ENSG00000243485	1	29554	MIR1302-2	+
ENSG00000239945	1	91105	RP11-34P13.8	-
ENSG00000238009	1	133723	RP11-34P13.7	-
ENSG00000241860	1	173862	RP11-34P13.13	-
ENSG00000235146	1	587629	RP5-857K21.2	+
ENSG00000229905	1	760911	RP11-206L10.4	+
ENSG00000237491	1	778770	RP11-206L10.9	+
ENSG00000177757	1	817371	FAM87B	+
ENSG00000228794	1	825138	LINC01128	+
ENSG00000225880	1	827522	LINC00115	-
ENSG00000230368	1	876903	FAM41C	-
ENSG00000272438	1	904834	RP11-54O7.16	+
ENSG00000230699	1	911435	RP11-54O7.1	+
ENSG00000241180	1	914171	RP11-54O7.2	+
ENSG00000223764	1	921016	RP11-54O7.3	-
ENSG00000187634	1	923928	SAMD11	+
ENSG00000188976	1	959309	NOC2L	-
ENSG00000187961	1	960587	KLHL17	+
ENSG00000187583	1	966497	PLEKHN1	+
ENSG00000187642	1	982093	PERM1	-
ENSG00000272512	1	998051	RP11-54O7.17	-
ENSG00000188290	1	1000172	HES4	-
ENSG00000187608	1	1001138	ISG15	+
ENSG00000224969	1	1013193	RP11-54O7.11	-
ENSG00000188157	1	1020123	AGRN	+
ENSG00000131591	1	1116361	C1orf159	-
ENSG00000223823	1	1137017	LINC01342	+
ENSG00000272141	1	1169357	RP11-465B22.8	+
ENSG00000162571	1	1173884	TTLL10	+
ENSG00000205231	1	1179555	TTLL10-AS1	-
ENSG00000186891	1	1206691	TNFRSF18	-
ENSG00000186827	1	1214138	TNFRSF4	-
ENSG00000078808	1	1232031	SDF4	-
ENSG00000176022	1	1232265	B3GALT6	+
ENSG00000184163	1	1246722	FAM132A	-
ENSG00000260179	1	1251334	RP5-902P8.12	-
ENSG00000160087	1	1273885	UBE2J2	-
ENSG00000230415	1	1275223	RP5-902P8.10	+
ENSG00000162572	1	1280436	SCNN1D	+
ENSG00000169972	1	1308567	PUSL1	+
ENSG00000131584	1	1309609	ACAP3	-
