probe	chr	TSS	NAME	strand
100287102	1	11121	DDX11L1	+
105378580	1	778739	LINC01409	+
400728	1	817363	FAM87B	+
643837	1	825138	LINC01128	+
284593	1	877032	FAM41C	-
148398	1	923895	SAMD11	+
100130417	1	925614	LINC02593	-
339451	1	960555	KLHL17	+
26155	1	960714	NOC2L	-
84069	1	966437	PLEKHN1	+
84808	1	982137	PERM1	-
57801	1	1000825	HES4	-
9636	1	1001138	ISG15	+
375790	1	1020069	AGRN	+
100288175	1	1058461	LOC100288175	+
54991	1	1116361	C1orf159	-
254099	1	1137017	LINC01342	+
254173	1	1173880	TTLL10	+
100506376	1	1179555	TTLL10-AS1	-
8784	1	1206814	TNFRSF18	-
7293	1	1214153	TNFRSF4	-
126792	1	1232237	B3GALT6	+
51150	1	1240964	SDF4	-
388581	1	1246934	C1QTNF12	-
118424	1	1274477	UBE2J2	-
6339	1	1280436	SCNN1D	+
126789	1	1308547	PUSL1	+
116983	1	1309609	ACAP3	-
54973	1	1324688	INTS11	-
80772	1	1324756	CPTP	+
83756	1	1331275	TAS1R3	+
1855	1	1349962	DVL1	-
54587	1	1361800	MXRA8	-
54998	1	1375521	AURKAIP1	-
148413	1	1399476	MRPL20-AS1	+
81669	1	1400909	CCNL2	-
55052	1	1407306	MRPL20	-
441869	1	1421769	ANKRD65	-
643965	1	1425871	TMEM278	+
64856	1	1434861	VWA1	+
102724312	1	1435625	LINC01770	-
219293	1	1449689	ATAD3C	+
83858	1	1471742	ATAD3B	+
55210	1	1512118	ATAD3A	+
339453	1	1540624	TMEM240	-
134006662	1	1574102	SSU72-AS1	+
29101	1	1574887	SSU72	-
643988	1	1600135	FNDC10	-
142678	1	1615433	MIB2	+
8510	1	1631660	MMP23B	+
984	1	1659267	CDK11B	-
728661	1	1693059	SLC35E2B	-
728642	1	1724571	CDK11A	-
65220	1	1780544	NADK	-
105378949	1	1891175	GNB1-DT	+
2782	1	1892292	GNB1	-
163688	1	1915081	CALML6	+
339456	1	1919329	TMEM52	-
85452	1	2003837	CFAP74	-
2563	1	2019305	GABRD	+
5590	1	2050396	PRKCZ	+
100506504	1	2184389	PRKCZ-AS1	-
199990	1	2212720	FAAP20	-
6497	1	2227388	SKI	+
124903824	1	2314917	LOC124903824	+
11079	1	2390670	RER1	+
79906	1	2391722	MORN1	-
5192	1	2413797	PEX10	-
9651	1	2425980	PLCH2	+
55229	1	2526617	PANK4	-
388585	1	2530271	HES5	-
8764	1	2554244	TNFRSF14	+
127281	1	2586491	PRXL2B	+
105378597	1	2628688	MMEL1-AS1	+
79258	1	2633019	MMEL1	-
100287898	1	2801693	TTC34	-
63976	1	3069003	PRDM16	+
27237	1	3454550	ARHGEF16	+
1953	1	3611543	MEGF6	-
127262	1	3624979	TPRG1L	+
7161	1	3652307	TP73	+
